card_id,account_id,card_type,card_purpose,status,first_used_on,expires_on,online_enabled,international_enabled,virtual_card
CA0001,AC0001,debit,everyday,active,2024-02-03,2029-02-01,true,true,false
CA0002,AC0001,debit,mobile_and_online,active,2025-03-02,2030-03-01,true,true,true
CA0003,AC0002,credit,everyday,active,2024-03-04,2029-03-01,true,true,false
CA0004,AC0003,credit,travel,active,2025-03-03,2030-03-01,true,true,false
CA0005,AC0004,debit,everyday,active,2024-04-05,2029-04-01,true,true,false
CA0006,AC0005,prepaid,travel,active,2025-04-04,2030-04-01,true,true,false
CA0007,AC0006,debit,everyday,active,2024-05-06,2029-05-01,true,false,false
CA0008,AC0007,debit,everyday,active,2024-06-07,2029-06-01,true,false,false
CA0009,AC0007,debit,mobile_and_online,blocked,2025-07-06,2030-07-01,true,false,true
CA0010,AC0008,prepaid,online,active,2025-06-06,2030-06-01,true,true,true
CA0011,AC0009,debit,everyday,active,2024-07-08,2029-07-01,true,true,false
CA0012,AC0009,debit,mobile_and_online,active,2025-08-07,2030-08-01,true,true,true
CA0013,AC0010,debit,everyday,active,2024-08-09,2029-08-01,true,true,false
CA0014,AC0011,credit,renovation,active,2025-08-08,2030-08-01,true,true,false
CA0015,AC0012,debit,everyday,active,2024-09-10,2029-09-01,true,true,false
CA0016,AC0012,debit,mobile_and_online,active,2025-10-09,2030-10-01,true,true,true
CA0017,AC0013,debit,family,active,2025-09-09,2030-09-01,true,true,false
CA0018,AC0014,debit,everyday,active,2024-10-11,2029-10-01,true,true,false
CA0019,AC0014,debit,mobile_and_online,active,2025-10-26,2030-11-01,true,true,true
CA0020,AC0015,credit,everyday,active,2024-11-12,2029-11-01,true,true,false
CA0021,AC0016,credit,business,active,2025-09-19,2030-11-01,true,true,true
CA0022,AC0017,debit,everyday,active,2024-01-13,2029-01-01,true,false,false
CA0023,AC0018,debit,everyday,active,2024-02-14,2029-02-01,true,true,false
CA0024,AC0019,prepaid,travel,active,2025-02-13,2030-02-01,true,true,false
CA0025,AC0020,debit,everyday,active,2024-03-15,2029-03-01,true,false,false
CA0026,AC0020,debit,mobile_and_online,expired,2025-05-14,2026-04-01,true,false,true
CA0027,AC0021,credit,everyday,active,2024-04-16,2029-04-01,true,true,false
CA0028,AC0021,credit,mobile_and_online,active,2025-06-15,2030-06-01,true,true,true
CA0029,AC0022,credit,events,active,2025-04-15,2030-04-01,true,true,false
CA0030,AC0023,credit,everyday,active,2024-05-17,2029-05-01,true,true,false
CA0031,AC0023,credit,mobile_and_online,active,2025-07-16,2030-07-01,true,true,true
CA0032,AC0024,debit,everyday,active,2024-06-18,2029-06-01,true,false,false
CA0033,AC0025,debit,pet_care,active,2025-06-17,2030-06-01,true,false,false
CA0034,AC0026,debit,everyday,active,2024-07-19,2029-07-01,true,true,false
CA0035,AC0027,debit,everyday,active,2024-08-20,2029-08-01,true,true,false
CA0036,AC0027,debit,mobile_and_online,active,2025-10-19,2030-10-01,true,true,true
CA0037,AC0028,debit,shared_household,active,2025-08-19,2030-08-01,true,true,false
CA0038,AC0029,debit,everyday,active,2024-09-21,2029-09-01,true,false,false
CA0039,AC0030,prepaid,online,active,2025-09-08,2030-09-01,true,true,true
CA0040,AC0031,credit,everyday,active,2024-10-02,2029-10-01,true,true,false
CA0041,AC0031,credit,mobile_and_online,active,2025-02-01,2030-02-01,true,true,true
