authorization_id,line_no,item_id,item_name,item_category,quantity,unit_price,currency,item_details
AU0001,1,IT0001,Fresh produce selection,groceries,1,13.00,CHF,One small basket of seasonal fruit and vegetables
AU0002,1,IT0001,Fresh produce selection,groceries,1,18.50,CHF,Seasonal fruit and vegetables
AU0002,2,IT0003,Breakfast supplies,groceries,1,20.00,CHF,"Bread, oats, and yoghurt"
AU0003,1,IT0004,Weekly grocery basket,groceries,1,92.00,CHF,Weekly food and household staples
AU0003,2,IT0001,Fresh produce selection,groceries,1,22.00,CHF,Fruit and vegetables
AU0004,1,IT0004,Weekly grocery basket,groceries,1,88.00,CHF,Weekly food and household staples
AU0004,2,IT0002,Pantry staples,groceries,1,30.00,CHF,"Rice, pasta, and tinned goods"
AU0005,1,IT0001,Fresh produce selection,groceries,1,24.00,CHF,Fruit and vegetables
AU0005,2,IT0002,Pantry staples,groceries,1,40.00,CHF,Dry store cupboard goods
AU0006,1,IT0003,Breakfast supplies,groceries,1,27.00,CHF,Breakfast staples
AU0006,2,IT0001,Fresh produce selection,groceries,1,32.00,CHF,Fruit and vegetables
AU0007,1,IT0001,Fresh produce selection,groceries,1,24.00,CHF,Fruit and vegetables
AU0007,2,IT0062,Fragrance and beauty gift,cosmetics,1,32.00,CHF,Boxed fragrance and beauty gift set
AU0008,1,IT0004,Weekly grocery basket,groceries,1,45.00,CHF,Food and household staples
AU0008,2,IT0001,Fresh produce selection,groceries,1,14.50,CHF,Fruit and vegetables
AU0009,1,IT0003,Breakfast supplies,groceries,1,18.00,CHF,Breakfast staples
AU0010,1,IT0004,Weekly grocery basket,groceries,1,95.00,CHF,Weekly food and household staples
AU0010,2,IT0002,Pantry staples,groceries,1,35.00,CHF,Dry store cupboard goods
AU0011,1,IT0004,Weekly grocery basket,groceries,1,52.00,CHF,Food and household staples
AU0011,2,IT0001,Fresh produce selection,groceries,1,30.00,CHF,Fruit and vegetables
