account_id,customer_id,account_type,account_purpose,base_currency,status,opened_on,per_transaction_limit_chf,monthly_limit_chf
AC0001,CU0001,debit,daily_spending,CHF,active,2019-02-02,1200,4500
AC0002,CU0002,credit,daily_spending,CHF,active,2020-03-03,3000,8500
AC0003,CU0002,credit,travel,CHF,active,2024-03-04,3500,9500
AC0004,CU0003,debit,daily_spending,CHF,active,2021-04-04,1600,5500
AC0005,CU0003,prepaid,travel,CHF,active,2022-04-05,800,2800
AC0006,CU0004,debit,daily_spending,CHF,active,2022-05-05,1000,4000
AC0007,CU0005,debit,daily_spending,CHF,active,2023-06-06,1200,4500
AC0008,CU0005,prepaid,online,CHF,active,2024-06-07,1000,3600
AC0009,CU0006,debit,daily_spending,CHF,active,2018-07-07,1400,5000
AC0010,CU0007,debit,daily_spending,CHF,active,2019-08-08,1600,5500
AC0011,CU0007,credit,renovation,CHF,active,2023-08-09,3000,8500
AC0012,CU0008,debit,daily_spending,CHF,active,2020-09-09,1000,4000
AC0013,CU0008,debit,family,CHF,active,2024-09-10,1000,3600
AC0014,CU0009,debit,daily_spending,CHF,active,2021-10-10,1200,4500
AC0015,CU0010,credit,daily_spending,CHF,active,2022-11-11,2500,7500
AC0016,CU0010,credit,business,CHF,active,2023-11-12,3000,8500
AC0017,CU0011,debit,daily_spending,CHF,active,2023-01-12,1600,5500
AC0018,CU0012,debit,daily_spending,CHF,active,2018-02-13,1000,4000
AC0019,CU0012,prepaid,travel,CHF,active,2022-02-14,800,2800
AC0020,CU0013,debit,daily_spending,CHF,active,2019-03-14,1200,4500
AC0021,CU0014,credit,daily_spending,CHF,active,2020-04-15,3000,8500
AC0022,CU0014,credit,events,CHF,active,2024-04-16,3500,9500
AC0023,CU0015,credit,daily_spending,CHF,active,2021-05-16,2000,6500
AC0024,CU0016,debit,daily_spending,CHF,active,2022-06-17,1000,4000
AC0025,CU0016,debit,pet_care,CHF,active,2023-06-18,900,3200
AC0026,CU0017,debit,daily_spending,CHF,active,2023-07-18,1200,4500
AC0027,CU0018,debit,daily_spending,CHF,active,2018-08-19,1400,5000
AC0028,CU0018,debit,shared_household,CHF,active,2022-08-20,800,2800
AC0029,CU0019,debit,daily_spending,CHF,active,2019-09-20,1600,5500
AC0030,CU0019,prepaid,online,CHF,active,2023-09-21,900,3200
AC0031,CU0020,credit,daily_spending,CHF,active,2020-10-01,3000,8500
