authorization_id,scenario_id,replay_order,authority_id,card_id,merchant_id,timestamp,amount,currency,billing_amount_chf,items_subtotal,delivery_fee,channel,customer_device_id,authority_status,card_status_at_attempt,spend_in_period_before_chf,recent_attempt_count_10m,fulfillment_method,delivery_by,order_returnable,order_cancellable,related_authorization_id,related_authorization_status,purchase_description
AU0001,SCEN0000,1,AUTH0001,CA0001,ME0001,2026-08-09T10:04:00Z,20.00,CHF,20.00,13.00,7.00,ecommerce,DVC-13A598,active,active,,0,delivery,2026-08-10,false,unknown,,,Grocery delivery order
AU0002,SCEN0001,1,AUTH0002,CA0001,ME0001,2026-08-10T09:12:00Z,44.50,CHF,44.50,38.50,6.00,ecommerce,DVC-13A598,active,active,,0,delivery,2026-08-11,false,unknown,,,Household grocery delivery
AU0003,SCEN0001,2,AUTH0002,CA0001,ME0001,2026-08-11T18:35:00Z,120.00,CHF,120.00,114.00,6.00,ecommerce,DVC-13A598,active,active,,0,delivery,2026-08-12,false,unknown,,,Household grocery delivery
AU0004,SCEN0001,3,AUTH0002,CA0001,ME0001,2026-08-12T10:05:00Z,126.00,CHF,126.00,118.00,8.00,ecommerce,DVC-13A598,active,active,,0,delivery,2026-08-13,false,unknown,,,Household grocery delivery
AU0005,SCEN0001,4,AUTH0002,CA0001,ME0001,2026-08-13T17:20:00Z,70.00,CHF,70.00,64.00,6.00,ecommerce,DVC-13A598,active,active,,0,delivery,2026-08-14,false,unknown,,,Household grocery delivery
AU0006,SCEN0001,5,AUTH0002,CA0001,ME0001,2026-08-13T17:26:00Z,65.00,CHF,65.00,59.00,6.00,ecommerce,DVC-13A598,active,active,,1,delivery,2026-08-14,false,unknown,,,Household grocery delivery
AU0007,SCEN0001,6,AUTH0002,CA0001,ME0001,2026-08-14T11:40:00Z,62.00,CHF,62.00,56.00,6.00,ecommerce,DVC-13A598,active,active,,0,delivery,2026-08-15,false,unknown,,,Household grocery delivery
AU0008,SCEN0001,7,AUTH0002,CA0001,ME0001,2026-08-15T09:30:00Z,65.50,CHF,65.50,59.50,6.00,ecommerce,DVC-13A598,active,active,,0,delivery,2026-08-16,false,unknown,,,Household grocery delivery
AU0009,SCEN0001,8,AUTH0002,CA0001,ME0001,2026-08-16T16:10:00Z,24.00,CHF,24.00,18.00,6.00,ecommerce,DVC-13A598,active,active,,0,delivery,2026-08-17,false,unknown,,,Household grocery delivery
AU0010,SCEN0001,9,AUTH0002,CA0001,ME0001,2026-08-18T10:00:00Z,138.00,CHF,138.00,130.00,8.00,ecommerce,DVC-13A598,active,active,,0,delivery,2026-08-19,false,unknown,,,Household grocery delivery
AU0011,SCEN0001,10,AUTH0002,CA0001,ME0001,2026-08-19T09:45:00Z,88.00,CHF,88.00,82.00,6.00,ecommerce,DVC-13A598,active,active,,0,delivery,2026-08-20,false,unknown,,,Household grocery delivery
AU0012,SCEN0002,1,AUTH0003,CA0011,ME0028,2026-08-11T10:15:00Z,165.00,CHF,165.00,165.00,0.00,ecommerce,DVC-89CB09,active,active,,0,delivery,,true,unknown,,,Running shoes order
AU0013,SCEN0002,2,AUTH0003,CA0011,ME0028,2026-08-11T14:40:00Z,155.00,CHF,155.00,155.00,0.00,ecommerce,DVC-89CB09,active,active,,0,delivery,,true,unknown,,,Running shoes order
AU0014,SCEN0002,3,AUTH0003,CA0011,ME0028,2026-08-12T09:05:00Z,145.00,CHF,145.00,145.00,0.00,ecommerce,DVC-89CB09,active,active,,0,delivery,,false,unknown,,,Running shoes order
